X0;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;target
0.0;0.0;13.0;14.0;3.0;0.0;0.0;0.0;0.0;4.0;16.0;15.0;11.0;0.0;0.0;0.0;0.0;7.0;12.0;4.0;16.0;0.0;0.0;0.0;0.0;3.0;6.0;4.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;12.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;7.0;0.0;0.0;0.0;0.0;1.0;14.0;16.0;10.0;10.0;2.0;0.0;0.0;0.0;11.0;12.0;14.0;14.0;6.0;0.0;2.0
0.0;0.0;0.0;12.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;15.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0;16.0;8.0;0.0;0.0;0.0;0.0;0.0;15.0;15.0;8.0;4.0;0.0;0.0;0.0;0.0;15.0;16.0;16.0;15.0;3.0;0.0;0.0;1.0;16.0;13.0;4.0;11.0;11.0;0.0;0.0;0.0;11.0;14.0;9.0;15.0;11.0;0.0;0.0;0.0;1.0;14.0;16.0;15.0;6.0;0.0;6.0
0.0;0.0;3.0;11.0;13.0;15.0;3.0;0.0;0.0;4.0;16.0;14.0;11.0;16.0;8.0;0.0;0.0;2.0;5.0;0.0;14.0;15.0;1.0;0.0;0.0;0.0;0.0;0.0;16.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;12.0;0.0;0.0;0.0;0.0;8.0;11.0;15.0;8.0;0.0;0.0;0.0;0.0;2.0;12.0;14.0;3.0;0.0;0.0;3.0
0.0;0.0;2.0;13.0;12.0;0.0;0.0;0.0;0.0;0.0;8.0;16.0;7.0;0.0;0.0;0.0;0.0;0.0;13.0;16.0;4.0;0.0;0.0;0.0;0.0;4.0;16.0;16.0;16.0;11.0;0.0;0.0;0.0;3.0;16.0;10.0;3.0;15.0;8.0;0.0;0.0;0.0;16.0;8.0;0.0;13.0;10.0;0.0;0.0;0.0;12.0;15.0;1.0;15.0;9.0;0.0;0.0;0.0;2.0;11.0;16.0;16.0;2.0;0.0;6.0
0.0;0.0;15.0;13.0;13.0;13.0;0.0;0.0;0.0;0.0;16.0;16.0;11.0;3.0;0.0;0.0;0.0;0.0;12.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;16.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;14.0;0.0;0.0;0.0;0.0;0.0;9.0;16.0;10.0;0.0;0.0;0.0;0.0;0.0;11.0;15.0;1.0;0.0;0.0;0.0;5.0
0.0;0.0;3.0;13.0;15.0;5.0;0.0;0.0;0.0;1.0;15.0;13.0;10.0;15.0;0.0;0.0;0.0;2.0;16.0;3.0;2.0;9.0;0.0;0.0;0.0;0.0;12.0;13.0;14.0;7.0;0.0;0.0;0.0;0.0;10.0;16.0;9.0;0.0;0.0;0.0;0.0;1.0;16.0;4.0;9.0;11.0;1.0;0.0;0.0;0.0;15.0;3.0;0.0;8.0;8.0;0.0;0.0;0.0;3.0;12.0;15.0;12.0;7.0;0.0;8.0
0.0;0.0;0.0;2.0;16.0;16.0;2.0;0.0;0.0;0.0;0.0;4.0;16.0;16.0;2.0;0.0;0.0;1.0;4.0;12.0;16.0;12.0;0.0;0.0;0.0;7.0;16.0;16.0;16.0;12.0;0.0;0.0;0.0;0.0;3.0;10.0;16.0;14.0;0.0;0.0;0.0;0.0;0.0;8.0;16.0;12.0;0.0;0.0;0.0;0.0;0.0;6.0;16.0;16.0;2.0;0.0;0.0;0.0;0.0;2.0;12.0;15.0;4.0;0.0;1.0
0.0;0.0;4.0;13.0;14.0;2.0;0.0;0.0;0.0;0.0;15.0;10.0;11.0;10.0;0.0;0.0;0.0;3.0;15.0;2.0;12.0;6.0;0.0;0.0;0.0;0.0;3.0;8.0;16.0;7.0;0.0;0.0;0.0;0.0;0.0;4.0;9.0;16.0;2.0;0.0;0.0;0.0;10.0;3.0;0.0;13.0;6.0;0.0;0.0;0.0;16.0;5.0;7.0;16.0;3.0;0.0;0.0;0.0;7.0;13.0;13.0;8.0;0.0;0.0;3.0
0.0;0.0;0.0;3.0;16.0;8.0;0.0;0.0;0.0;0.0;0.0;11.0;16.0;9.0;0.0;0.0;0.0;3.0;12.0;16.0;16.0;8.0;0.0;0.0;0.0;13.0;16.0;9.0;16.0;8.0;0.0;0.0;0.0;1.0;2.0;0.0;16.0;8.0;0.0;0.0;0.0;0.0;0.0;2.0;16.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;16.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;9.0;0.0;0.0;1.0
0.0;0.0;7.0;14.0;11.0;0.0;0.0;0.0;0.0;1.0;16.0;13.0;2.0;2.0;1.0;0.0;0.0;3.0;16.0;9.0;4.0;13.0;4.0;0.0;0.0;0.0;7.0;16.0;16.0;14.0;0.0;0.0;0.0;0.0;11.0;16.0;16.0;9.0;0.0;0.0;0.0;0.0;16.0;9.0;10.0;15.0;0.0;0.0;0.0;1.0;16.0;2.0;5.0;16.0;4.0;0.0;0.0;0.0;7.0;15.0;16.0;16.0;3.0;0.0;8.0
0.0;1.0;8.0;10.0;14.0;10.0;0.0;0.0;0.0;12.0;10.0;6.0;6.0;16.0;2.0;0.0;0.0;3.0;0.0;0.0;7.0;14.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;16.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;12.0;0.0;0.0;0.0;4.0;0.0;2.0;11.0;9.0;0.0;0.0;0.0;12.0;16.0;14.0;12.0;4.0;0.0;3.0
0.0;0.0;8.0;15.0;16.0;6.0;0.0;0.0;0.0;0.0;13.0;13.0;13.0;13.0;0.0;0.0;0.0;0.0;2.0;6.0;16.0;9.0;0.0;0.0;0.0;0.0;0.0;3.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;15.0;0.0;0.0;0.0;0.0;7.0;4.0;11.0;16.0;1.0;0.0;0.0;0.0;7.0;16.0;16.0;8.0;0.0;0.0;3.0
0.0;0.0;0.0;14.0;14.0;1.0;0.0;0.0;0.0;0.0;3.0;16.0;14.0;0.0;0.0;0.0;0.0;0.0;10.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;16.0;16.0;8.0;3.0;0.0;0.0;0.0;3.0;16.0;15.0;8.0;14.0;2.0;0.0;0.0;0.0;16.0;11.0;0.0;11.0;10.0;0.0;0.0;0.0;9.0;14.0;7.0;16.0;10.0;0.0;0.0;0.0;0.0;12.0;16.0;14.0;1.0;0.0;6.0
0.0;0.0;15.0;16.0;13.0;6.0;0.0;0.0;0.0;0.0;12.0;12.0;14.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;9.0;0.0;0.0;0.0;0.0;1.0;11.0;15.0;2.0;0.0;0.0;0.0;0.0;8.0;16.0;16.0;12.0;1.0;0.0;0.0;1.0;8.0;4.0;9.0;16.0;3.0;0.0;0.0;5.0;14.0;7.0;10.0;15.0;1.0;0.0;0.0;2.0;12.0;16.0;14.0;6.0;0.0;0.0;3.0
0.0;1.0;12.0;16.0;16.0;16.0;12.0;0.0;0.0;9.0;16.0;13.0;6.0;8.0;5.0;0.0;0.0;8.0;16.0;15.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0;14.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;13.0;0.0;0.0;0.0;0.0;0.0;3.0;15.0;11.0;0.0;0.0;0.0;0.0;0.0;12.0;13.0;2.0;0.0;0.0;0.0;5.0
0.0;0.0;6.0;16.0;15.0;5.0;0.0;0.0;0.0;1.0;16.0;14.0;8.0;15.0;1.0;0.0;0.0;9.0;13.0;1.0;0.0;12.0;6.0;0.0;0.0;5.0;9.0;0.0;0.0;9.0;10.0;0.0;0.0;6.0;9.0;0.0;0.0;9.0;11.0;0.0;0.0;7.0;16.0;1.0;0.0;11.0;11.0;0.0;0.0;3.0;16.0;11.0;13.0;16.0;8.0;0.0;0.0;0.0;8.0;16.0;16.0;12.0;1.0;0.0;0.0
0.0;0.0;9.0;14.0;16.0;16.0;2.0;0.0;0.0;7.0;15.0;7.0;4.0;14.0;8.0;0.0;0.0;0.0;0.0;0.0;5.0;15.0;4.0;0.0;0.0;0.0;0.0;0.0;16.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;12.0;0.0;0.0;0.0;0.0;15.0;2.0;8.0;14.0;0.0;0.0;0.0;0.0;10.0;15.0;12.0;3.0;0.0;0.0;3.0
0.0;0.0;0.0;6.0;14.0;1.0;0.0;0.0;0.0;0.0;1.0;16.0;10.0;0.0;0.0;0.0;0.0;0.0;13.0;14.0;1.0;0.0;0.0;0.0;0.0;2.0;16.0;12.0;10.0;3.0;0.0;0.0;0.0;5.0;16.0;15.0;14.0;16.0;1.0;0.0;0.0;3.0;16.0;12.0;0.0;15.0;8.0;0.0;0.0;0.0;11.0;16.0;9.0;16.0;8.0;0.0;0.0;0.0;0.0;11.0;15.0;11.0;1.0;0.0;6.0
0.0;0.0;3.0;10.0;15.0;8.0;0.0;0.0;0.0;0.0;12.0;14.0;8.0;1.0;0.0;0.0;0.0;1.0;16.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;16.0;9.0;11.0;16.0;3.0;0.0;0.0;4.0;16.0;14.0;9.0;15.0;7.0;0.0;0.0;1.0;4.0;0.0;0.0;15.0;3.0;0.0;0.0;0.0;0.0;3.0;12.0;8.0;0.0;0.0;0.0;0.0;2.0;10.0;8.0;0.0;0.0;0.0;5.0
0.0;0.0;13.0;16.0;12.0;7.0;0.0;0.0;0.0;4.0;16.0;15.0;12.0;12.0;3.0;0.0;0.0;4.0;16.0;5.0;0.0;0.0;0.0;0.0;0.0;3.0;16.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0;16.0;14.0;0.0;0.0;0.0;0.0;1.0;9.0;14.0;16.0;0.0;0.0;0.0;0.0;1.0;13.0;16.0;10.0;0.0;0.0;0.0;5.0
0.0;0.0;0.0;11.0;5.0;3.0;11.0;0.0;0.0;0.0;7.0;14.0;2.0;12.0;9.0;0.0;0.0;2.0;15.0;6.0;3.0;16.0;5.0;0.0;0.0;7.0;16.0;8.0;13.0;16.0;13.0;0.0;0.0;7.0;16.0;16.0;16.0;7.0;1.0;0.0;0.0;0.0;4.0;10.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;4.0
0.0;2.0;11.0;14.0;10.0;1.0;0.0;0.0;0.0;6.0;12.0;8.0;15.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;11.0;0.0;0.0;0.0;0.0;0.0;8.0;14.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0;16.0;15.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;13.0;8.0;0.0;0.0;2.0;5.0;1.0;2.0;12.0;7.0;0.0;0.0;1.0;12.0;16.0;16.0;10.0;0.0;0.0;3.0
0.0;0.0;0.0;6.0;15.0;1.0;0.0;0.0;0.0;0.0;5.0;16.0;10.0;0.0;8.0;6.0;0.0;2.0;16.0;11.0;0.0;9.0;16.0;6.0;0.0;8.0;16.0;14.0;14.0;16.0;13.0;1.0;0.0;6.0;12.0;12.0;12.0;16.0;3.0;0.0;0.0;0.0;0.0;0.0;13.0;11.0;0.0;0.0;0.0;0.0;0.0;6.0;16.0;5.0;0.0;0.0;0.0;0.0;0.0;10.0;14.0;0.0;0.0;0.0;4.0
0.0;0.0;4.0;15.0;14.0;10.0;1.0;0.0;0.0;0.0;7.0;9.0;0.0;9.0;8.0;0.0;0.0;0.0;11.0;9.0;2.0;13.0;7.0;0.0;0.0;0.0;4.0;15.0;14.0;4.0;0.0;0.0;0.0;0.0;6.0;15.0;15.0;1.0;0.0;0.0;0.0;4.0;14.0;1.0;13.0;7.0;0.0;0.0;0.0;7.0;13.0;1.0;5.0;13.0;0.0;0.0;0.0;0.0;7.0;14.0;16.0;16.0;1.0;0.0;8.0
0.0;0.0;12.0;16.0;16.0;16.0;7.0;0.0;0.0;1.0;14.0;15.0;6.0;4.0;1.0;0.0;0.0;8.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;9.0;16.0;12.0;12.0;9.0;1.0;0.0;0.0;1.0;8.0;8.0;8.0;15.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;12.0;0.0;0.0;0.0;8.0;2.0;6.0;16.0;5.0;0.0;0.0;1.0;11.0;16.0;16.0;8.0;0.0;0.0;5.0
0.0;0.0;9.0;14.0;16.0;13.0;2.0;0.0;0.0;0.0;13.0;8.0;2.0;6.0;4.0;0.0;0.0;0.0;16.0;2.0;9.0;8.0;0.0;0.0;0.0;3.0;15.0;15.0;11.0;14.0;4.0;0.0;0.0;5.0;16.0;6.0;0.0;12.0;2.0;0.0;0.0;5.0;7.0;0.0;3.0;13.0;0.0;0.0;0.0;0.0;5.0;7.0;13.0;6.0;0.0;0.0;0.0;0.0;10.0;16.0;9.0;0.0;0.0;0.0;5.0
0.0;0.0;7.0;12.0;15.0;6.0;0.0;0.0;0.0;14.0;16.0;15.0;6.0;0.0;0.0;0.0;0.0;16.0;16.0;13.0;0.0;0.0;0.0;0.0;0.0;10.0;16.0;14.0;8.0;0.0;0.0;0.0;0.0;0.0;2.0;8.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;15.0;0.0;0.0;0.0;0.0;0.0;4.0;13.0;15.0;0.0;0.0;0.0;0.0;0.0;7.0;16.0;7.0;0.0;0.0;0.0;5.0
0.0;0.0;0.0;14.0;13.0;1.0;0.0;0.0;0.0;0.0;4.0;16.0;11.0;0.0;0.0;0.0;0.0;0.0;12.0;16.0;1.0;0.0;0.0;0.0;0.0;1.0;15.0;16.0;14.0;1.0;0.0;0.0;0.0;4.0;16.0;12.0;8.0;12.0;7.0;0.0;0.0;2.0;15.0;8.0;0.0;8.0;16.0;2.0;0.0;0.0;10.0;14.0;9.0;15.0;15.0;1.0;0.0;0.0;1.0;14.0;16.0;14.0;2.0;0.0;6.0
0.0;0.0;4.0;15.0;13.0;3.0;0.0;0.0;0.0;1.0;16.0;13.0;16.0;15.0;1.0;0.0;0.0;6.0;15.0;0.0;4.0;16.0;4.0;0.0;0.0;3.0;15.0;14.0;16.0;14.0;0.0;0.0;0.0;0.0;4.0;16.0;16.0;11.0;0.0;0.0;0.0;0.0;11.0;12.0;8.0;16.0;5.0;0.0;0.0;0.0;16.0;10.0;12.0;16.0;3.0;0.0;0.0;0.0;7.0;16.0;13.0;7.0;0.0;0.0;8.0
0.0;2.0;15.0;12.0;1.0;0.0;0.0;0.0;0.0;4.0;16.0;13.0;13.0;0.0;0.0;0.0;0.0;0.0;14.0;3.0;15.0;12.0;5.0;0.0;0.0;0.0;5.0;16.0;16.0;11.0;0.0;0.0;0.0;2.0;13.0;13.0;14.0;2.0;0.0;0.0;0.0;5.0;13.0;0.0;6.0;8.0;0.0;0.0;0.0;4.0;11.0;0.0;1.0;15.0;0.0;0.0;0.0;2.0;12.0;16.0;16.0;7.0;0.0;0.0;8.0
0.0;0.0;0.0;12.0;13.0;0.0;0.0;0.0;0.0;0.0;5.0;16.0;8.0;0.0;0.0;0.0;0.0;0.0;13.0;16.0;3.0;0.0;0.0;0.0;0.0;0.0;14.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;12.0;7.0;2.0;0.0;0.0;0.0;0.0;13.0;16.0;13.0;16.0;3.0;0.0;0.0;0.0;7.0;16.0;11.0;15.0;8.0;0.0;0.0;0.0;1.0;9.0;15.0;11.0;3.0;0.0;6.0
0.0;0.0;6.0;10.0;8.0;3.0;0.0;0.0;0.0;0.0;6.0;16.0;16.0;9.0;0.0;0.0;0.0;0.0;9.0;16.0;16.0;6.0;0.0;0.0;0.0;0.0;7.0;16.0;16.0;10.0;0.0;0.0;0.0;0.0;11.0;16.0;16.0;8.0;0.0;0.0;0.0;0.0;7.0;16.0;16.0;9.0;0.0;0.0;0.0;0.0;10.0;16.0;16.0;6.0;0.0;0.0;0.0;0.0;4.0;9.0;12.0;11.0;2.0;0.0;1.0
0.0;0.0;0.0;8.0;12.0;0.0;0.0;0.0;0.0;0.0;5.0;16.0;3.0;0.0;2.0;0.0;0.0;1.0;16.0;5.0;1.0;10.0;15.0;1.0;0.0;9.0;16.0;4.0;9.0;16.0;7.0;0.0;0.0;7.0;16.0;16.0;16.0;7.0;0.0;0.0;0.0;0.0;2.0;8.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;10.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;10.0;0.0;0.0;0.0;4.0
0.0;0.0;6.0;16.0;13.0;11.0;1.0;0.0;0.0;0.0;16.0;15.0;12.0;16.0;1.0;0.0;0.0;3.0;16.0;7.0;0.0;13.0;6.0;0.0;0.0;4.0;16.0;0.0;0.0;10.0;8.0;0.0;0.0;8.0;16.0;0.0;0.0;14.0;6.0;0.0;0.0;5.0;16.0;7.0;9.0;16.0;5.0;0.0;0.0;1.0;15.0;16.0;16.0;16.0;1.0;0.0;0.0;0.0;6.0;16.0;14.0;6.0;0.0;0.0;0.0
0.0;0.0;0.0;7.0;15.0;1.0;0.0;0.0;0.0;0.0;0.0;15.0;16.0;1.0;0.0;0.0;0.0;0.0;9.0;16.0;16.0;2.0;0.0;0.0;0.0;2.0;16.0;16.0;16.0;0.0;0.0;0.0;0.0;10.0;16.0;16.0;16.0;16.0;8.0;0.0;0.0;8.0;15.0;15.0;14.0;8.0;5.0;0.0;0.0;0.0;0.0;11.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;15.0;1.0;0.0;0.0;4.0
0.0;0.0;0.0;0.0;5.0;15.0;10.0;0.0;0.0;0.0;0.0;8.0;11.0;15.0;7.0;0.0;0.0;0.0;6.0;13.0;10.0;16.0;7.0;0.0;0.0;3.0;16.0;14.0;12.0;15.0;4.0;0.0;0.0;1.0;11.0;8.0;1.0;14.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;4.0;0.0;0.0;9.0
0.0;0.0;7.0;16.0;11.0;1.0;0.0;0.0;0.0;1.0;15.0;12.0;12.0;12.0;0.0;0.0;0.0;2.0;16.0;2.0;6.0;16.0;2.0;0.0;0.0;1.0;16.0;6.0;6.0;16.0;6.0;0.0;0.0;0.0;7.0;16.0;15.0;16.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;11.0;0.0;0.0;0.0;3.0;3.0;6.0;16.0;5.0;0.0;0.0;0.0;8.0;16.0;14.0;6.0;0.0;0.0;9.0
0.0;0.0;3.0;11.0;16.0;13.0;0.0;0.0;0.0;3.0;15.0;15.0;13.0;16.0;0.0;0.0;0.0;6.0;8.0;2.0;9.0;14.0;0.0;0.0;0.0;0.0;4.0;7.0;15.0;14.0;5.0;0.0;0.0;4.0;16.0;16.0;16.0;14.0;6.0;0.0;0.0;1.0;8.0;13.0;12.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;15.0;1.0;0.0;0.0;0.0;7.0
0.0;1.0;10.0;9.0;11.0;5.0;0.0;0.0;1.0;14.0;8.0;1.0;2.0;11.0;0.0;0.0;0.0;14.0;3.0;0.0;11.0;5.0;0.0;0.0;0.0;2.0;12.0;12.0;11.0;0.0;0.0;0.0;0.0;0.0;2.0;15.0;14.0;4.0;0.0;0.0;0.0;0.0;11.0;5.0;1.0;12.0;2.0;0.0;0.0;0.0;13.0;0.0;0.0;14.0;2.0;0.0;0.0;0.0;9.0;13.0;16.0;9.0;0.0;0.0;8.0
0.0;0.0;13.0;16.0;16.0;5.0;0.0;0.0;0.0;5.0;15.0;6.0;11.0;13.0;0.0;0.0;0.0;0.0;2.0;2.0;13.0;8.0;0.0;0.0;0.0;0.0;4.0;16.0;15.0;2.0;0.0;0.0;0.0;0.0;3.0;11.0;15.0;16.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;15.0;11.0;0.0;0.0;0.0;3.0;4.0;9.0;16.0;6.0;0.0;0.0;0.0;15.0;16.0;16.0;10.0;0.0;0.0;3.0
0.0;0.0;7.0;16.0;16.0;14.0;0.0;0.0;0.0;0.0;16.0;12.0;10.0;15.0;1.0;0.0;0.0;0.0;10.0;4.0;16.0;10.0;0.0;0.0;0.0;0.0;0.0;9.0;16.0;11.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;16.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;7.0;0.0;0.0;0.0;8.0;4.0;10.0;15.0;2.0;0.0;0.0;0.0;12.0;16.0;16.0;6.0;0.0;0.0;3.0
0.0;1.0;7.0;13.0;16.0;11.0;0.0;0.0;0.0;11.0;16.0;13.0;15.0;16.0;0.0;0.0;0.0;3.0;8.0;2.0;16.0;9.0;0.0;0.0;0.0;0.0;0.0;8.0;16.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0;16.0;16.0;5.0;0.0;0.0;0.0;0.0;0.0;3.0;14.0;11.0;0.0;0.0;0.0;3.0;8.0;14.0;16.0;8.0;0.0;0.0;0.0;7.0;16.0;12.0;7.0;0.0;0.0;3.0
